occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Industrial production manager,Marketing manager,19.1,62.4,88.93,-2.50,-2.14,47.50,52.50,-0.18,50.00,49.91
Facilities manager,Training and development specialist,23.4,56.7,88.90,0.10,0.39,95.00,100.00,-0.14,97.50,97.36
Software developer,Operations research analyst,20.2,55.0,88.88,-0.94,1.27,95.00,100.00,-1.11,97.50,96.42
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,3.12,3.07,100.00,100.00,0.02,100.00,99.98
Information security analyst,Administrative services manager,19.3,74.0,88.53,-1.31,-1.30,17.50,0.00,-0.00,8.75,8.75
Industrial production manager,Operations research analyst,19.1,55.0,88.39,0.06,0.41,12.50,35.00,-0.18,23.75,23.71
Facilities manager,Financial manager,23.4,56.2,88.37,2.34,-0.91,42.50,30.00,1.63,36.25,35.66
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,2.76,-0.27,97.50,52.50,1.51,75.00,73.87
Industrial production manager,Public relations manager,19.1,66.4,88.35,-0.79,1.41,30.00,50.00,-1.10,40.00,39.56
Project management specialist,Public relations specialist,47.3,76.2,88.35,-1.59,0.09,100.00,97.50,-0.84,98.75,97.92
Industrial production manager,Administrative services manager,19.1,74.0,88.30,-1.00,1.19,5.00,0.00,-1.09,2.50,2.47
Facilities manager,Marketing specialist,23.4,61.7,88.28,1.46,2.36,37.50,32.50,-0.45,35.00,34.84
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,2.58,2.28,92.50,20.00,0.15,56.25,56.17
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,-1.44,-1.13,0.00,0.00,-0.15,0.00,0.00
Operation manager,Marketing manager,37.1,62.4,88.12,-1.67,-2.02,67.50,67.50,0.18,67.50,67.38
Industrial production manager,Training and development specialist,19.1,56.7,88.10,-1.38,1.34,100.00,100.00,-1.36,100.00,98.64
Purchasing manager,Accountant,47.7,57.0,88.07,1.72,-3.72,15.00,2.50,2.72,8.75,8.51
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,0.97,-1.86,70.00,0.00,1.41,35.00,34.51
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,0.21,-0.48,22.50,17.50,0.34,20.00,19.93
Chemical engineer,Medical scientist,21.6,51.8,87.70,-2.72,-3.09,15.00,28.95,0.19,21.97,21.93
Operation manager,Human resources manager,37.1,76.5,87.61,-0.98,-0.30,62.50,90.00,-0.34,76.25,75.99
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,-0.12,0.77,45.00,47.50,-0.44,46.25,46.04
Operation manager,Public relations manager,37.1,66.4,87.47,-1.69,-0.19,50.00,62.50,-0.75,56.25,55.83
Training and development manager,Social and community service manager,48.0,71.7,87.29,1.88,0.42,100.00,100.00,0.73,100.00,99.27
Financial and investment analyst,Accountant,43.9,57.0,87.27,-0.73,-3.86,2.50,0.00,1.57,1.25,1.23
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,0.71,0.94,72.50,27.50,-0.11,50.00,49.94
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,2.85,-0.62,100.00,100.00,1.73,100.00,98.27
Purchasing manager,Training and development specialist,47.7,56.7,86.71,-0.15,0.81,85.00,100.00,-0.48,92.50,92.05
Web developer,Graphic designer,19.4,54.7,86.62,0.69,1.60,100.00,83.78,-0.45,91.89,91.47
Purchasing manager,Social and community service manager,47.7,71.7,86.53,0.96,0.02,100.00,100.00,0.47,100.00,99.53
Chemical engineer,Biological scientist,21.6,55.0,86.36,-3.83,1.08,77.50,100.00,-2.46,88.75,86.57
Dentist,Dental hygienist,39.5,95.7,86.25,0.65,-4.16,10.53,0.00,2.40,5.26,5.14
Software quality tester,Operations research analyst,44.1,55.0,86.23,0.56,0.57,62.50,50.00,-0.00,56.25,56.25
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,3.78,-2.41,97.50,75.68,3.09,86.59,83.91
Information security analyst,Training and development specialist,19.3,56.7,85.97,0.37,0.26,100.00,100.00,0.06,100.00,99.94
Software developer,Graphic designer,20.2,54.7,85.82,-3.85,1.78,77.50,75.68,-2.82,76.59,74.43
Architectural and engineering manager,Social and community service manager,12.8,71.7,85.81,-0.32,0.52,90.00,95.00,-0.42,92.50,92.11
Web and digital interface designer,Operations research analyst,42.7,55.0,85.73,3.31,0.58,100.00,100.00,1.37,100.00,98.63
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,85.68,-2.51,-0.86,0.00,0.00,-0.82,0.00,0.00
Lawyer,Paralegal,39.5,83.0,85.66,-1.33,1.73,0.00,0.00,-1.53,0.00,0.00
Architectural and engineering manager,Operations research analyst,12.8,55.0,85.62,-1.23,0.79,0.00,85.00,-1.01,42.50,42.07
Operation manager,Social and community service manager,37.1,71.7,85.47,-0.96,0.44,70.00,97.50,-0.70,83.75,83.17
Industrial production manager,Social and community service manager,19.1,71.7,85.20,-1.45,0.27,95.00,100.00,-0.86,97.50,96.66
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,85.15,-0.19,1.02,0.00,30.00,-0.61,15.00,14.91
Property assessor,Insurance underwriter,34.2,56.9,85.13,-1.27,-2.61,35.00,0.00,0.67,17.50,17.38
Operation manager,Human resources worker,37.1,76.5,84.98,-1.30,0.48,12.50,45.00,-0.89,28.75,28.49
Computer systems analyst,Operations research analyst,37.8,55.0,84.96,0.78,1.70,2.50,40.00,-0.46,21.25,21.15
Building cleaner,Housekeeping cleaner,38.7,88.4,84.95,-0.57,0.39,100.00,100.00,-0.48,100.00,99.52
Postsecondary teacher,School psychologist,46.6,87.9,84.73,-1.72,2.77,37.50,28.12,-2.24,32.81,32.08
Industrial production manager,Accountant,19.1,57.0,84.49,-1.64,-2.84,0.00,0.00,0.60,0.00,0.00
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,84.49,1.73,-0.87,100.00,5.00,1.30,52.50,51.82
Facilities manager,Social and human service assistant,23.4,75.3,84.45,3.74,5.90,52.50,5.00,-1.08,28.75,28.44
Chemical technician,Medical scientist,35.0,51.8,84.20,2.24,-2.26,7.14,28.95,2.25,18.05,17.64
Counter and rental clerk,Order clerk,38.7,58.3,84.14,1.03,-0.87,62.50,3.12,0.95,32.81,32.50
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,83.91,0.64,0.41,92.50,100.00,0.11,96.25,96.14
Chemical technician,Biological scientist,35.0,55.0,83.89,-2.16,0.67,100.00,100.00,-1.42,100.00,98.58
Cost estimator,Accountant,17.7,57.0,83.72,0.14,-1.24,0.00,47.50,0.69,23.75,23.59
Postsecondary teacher,Teaching assistant,46.6,79.5,83.68,-4.42,3.06,17.50,25.00,-3.74,21.25,20.45
Food service manager,Food preparation worker,46.7,58.7,83.62,2.13,-1.21,92.50,100.00,1.67,96.25,94.64
Operation manager,Accountant,37.1,57.0,83.57,-0.69,-2.49,7.50,0.00,0.90,3.75,3.72
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,83.54,-3.12,-3.21,10.71,21.74,0.05,16.23,16.22
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,83.35,-0.45,0.98,0.00,0.00,-0.72,0.00,0.00
Software developer,Advertising sales agent,20.2,52.7,83.02,0.77,0.50,87.50,100.00,0.13,93.75,93.63
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,82.90,1.37,0.29,0.00,0.00,0.54,0.00,0.00
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,82.90,-1.74,-0.41,0.00,13.16,-0.66,6.58,6.54
Cost estimator,Insurance underwriter,17.7,56.9,82.88,1.61,-2.86,37.50,30.00,2.24,33.75,33.00
Materials engineer,Medical scientist,13.5,51.8,82.86,-0.88,-3.30,2.50,7.89,1.21,5.20,5.13
First-line supervisor of non-retail sales workers,Social and human service assistant,35.9,75.3,82.81,-0.51,1.41,0.00,2.50,-0.96,1.25,1.24
Property assessor,Accountant,34.2,57.0,82.77,-1.02,-4.61,0.00,0.00,1.80,0.00,0.00
Postsecondary teacher,Special education teacher,46.6,86.6,82.74,-1.82,1.32,45.00,56.25,-1.57,50.62,49.83
First-line supervisor of retail sales workers,Order clerk,44.6,58.3,82.68,-0.09,0.89,0.00,9.38,-0.49,4.69,4.66
Painter,Artist,10.4,51.6,82.54,-0.07,-0.61,22.86,5.00,0.27,13.93,13.89
Software developer,Accountant,20.2,57.0,82.50,-2.30,-1.97,50.00,77.50,-0.17,63.75,63.64
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,82.43,0.06,-1.32,90.00,92.11,0.69,91.05,90.42
Operation manager,Compliance officer,37.1,51.8,82.41,-1.93,1.05,57.50,60.00,-1.49,58.75,57.87
Chemists and materials scientist,Medical scientist,36.0,51.8,82.39,1.04,-3.87,0.00,65.79,2.46,32.89,32.09
Materials engineer,Biological scientist,13.5,55.0,82.14,-3.49,0.33,80.00,100.00,-1.91,90.00,88.28
Web and digital interface designer,Advertising sales agent,42.7,52.7,82.03,4.75,0.98,80.00,84.62,1.89,82.31,80.76
Web and digital interface designer,Insurance claims and policy processing clerk,42.7,80.1,81.94,1.25,-0.93,100.00,100.00,1.09,100.00,98.91
Property assessor,Tax preparer,34.2,66.3,81.93,-3.15,3.04,20.00,56.76,-3.10,38.38,37.19
Counter and rental clerk,Payroll and timekeeping clerk,38.7,88.2,81.92,2.14,-1.99,37.50,30.43,2.06,33.97,33.27
First-line supervisor of non-retail sales workers,Advertising sales agent,35.9,52.7,81.85,-0.28,0.53,0.00,0.00,-0.41,0.00,0.00
First-line supervisor of non-retail sales workers,Order clerk,35.9,58.3,81.81,-2.52,1.73,0.00,3.12,-2.12,1.56,1.53
Operation manager,Public relations specialist,37.1,76.2,81.53,-1.54,-0.03,17.50,90.00,-0.76,53.75,53.34
Property assessor,Real estate broker,34.2,57.0,81.51,-2.93,2.00,5.00,20.00,-2.47,12.50,12.19
First-line supervisor of non-retail sales workers,Customer service representative,35.9,65.3,81.44,0.04,-0.61,0.00,14.29,0.33,7.14,7.12
Software developer,Insurance claims and policy processing clerk,20.2,80.1,81.32,1.01,-1.65,100.00,100.00,1.33,100.00,98.67
Information security analyst,Insurance underwriter,19.3,56.9,81.21,1.31,-3.21,100.00,7.50,2.26,53.75,52.53
Information security analyst,Accountant,19.3,57.0,81.08,-2.59,-5.62,7.50,0.00,1.51,3.75,3.69
Web developer,Advertising sales agent,19.4,52.7,81.04,1.08,1.61,52.50,100.00,-0.27,76.25,76.05
Postsecondary teacher,Public relations specialist,46.6,76.2,80.98,-1.84,-0.05,15.00,20.00,-0.89,17.50,17.34
Computer support specialist,Customer service representative,26.2,65.3,80.93,1.30,-0.08,0.00,0.00,0.69,0.00,0.00
Software developer,Customer service representative,20.2,65.3,80.93,-0.45,-2.34,70.00,100.00,0.95,85.00,84.19
Chemists and materials scientist,Biological scientist,36.0,55.0,80.90,2.84,1.67,100.00,100.00,0.58,100.00,99.42
Surgeon,Medical scientist,20.0,51.8,80.81,-0.43,-3.07,6.45,23.68,1.32,15.07,14.87
Operation manager,Insurance underwriter,37.1,56.9,80.69,-0.27,-1.80,80.00,2.50,0.77,41.25,40.93
Postsecondary teacher,Social and community service manager,46.6,71.7,80.66,0.65,-0.38,47.50,100.00,0.52,73.75,73.37
Information security analyst,Payroll and timekeeping clerk,19.3,88.2,80.57,-0.38,-0.63,80.00,69.57,0.12,74.78,74.69
Electrical and electronic engineering technician,Medical appliance technician,11.6,58.9,80.54,0.05,-1.35,0.00,0.00,0.70,0.00,0.00
Information security analyst,Executive secretary,19.3,90.0,80.53,-1.58,7.51,57.50,12.50,-4.55,35.00,33.41
Property assessor,Loan officer,34.2,51.6,80.52,-2.22,4.03,7.50,0.00,-3.13,3.75,3.63
Software developer,Insurance sales agent,20.2,54.9,80.48,0.28,-0.57,75.00,63.64,0.43,69.32,69.02
Lawyer,Accountant,39.5,57.0,80.39,-1.10,-3.75,0.00,0.00,1.33,0.00,0.00
Information security analyst,Social and community service manager,19.3,71.7,80.27,0.71,-1.49,100.00,100.00,1.10,100.00,98.90
Information security analyst,Public relations specialist,19.3,76.2,80.07,-1.61,1.86,77.50,90.00,-1.73,83.75,82.30
Software developer,Public relations specialist,20.2,76.2,79.88,-1.01,1.17,75.00,100.00,-1.09,87.50,86.55
Cook,Baker,39.8,65.5,79.84,0.93,0.10,100.00,100.00,0.41,100.00,99.59
First-line supervisor of retail sales workers,Payroll and timekeeping clerk,44.6,88.2,79.77,1.11,-2.18,0.00,13.04,1.65,6.52,6.41
Postsecondary teacher,Social and human service assistant,46.6,75.3,79.70,-0.88,4.08,2.50,22.50,-2.48,12.50,12.19
Lawyer,Legal secretary,39.5,96.4,79.62,-1.29,1.85,2.50,3.45,-1.57,2.97,2.93
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,44.1,88.4,79.57,0.79,1.73,0.00,85.00,-0.47,42.50,42.30
Chemical technician,Miscellaneous health technician,35.0,72.7,79.33,2.64,0.00,0.00,0.00,1.32,0.00,0.00
Property assessor,Social and community service manager,34.2,71.7,79.29,-3.25,-0.51,60.00,97.50,-1.37,78.75,77.67
Mechanical engineer,Biological scientist,10.1,55.0,79.28,1.02,2.02,100.00,100.00,-0.50,100.00,99.50
Web developer,Customer service representative,19.4,65.3,79.26,2.45,-0.02,40.00,57.14,1.24,48.57,47.97
Web and digital interface designer,Customer service representative,42.7,65.3,79.25,2.88,-0.62,97.50,89.29,1.75,93.39,91.76
Computer numerically controlled tool operator,Filling machine operator,7.8,57.3,79.08,0.29,-4.15,0.00,37.50,2.22,18.75,18.33
Personal financial advisor,Loan officer,32.6,51.6,79.02,1.86,3.41,0.00,0.00,-0.77,0.00,0.00
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,44.6,65.8,78.96,0.62,-0.30,0.00,0.00,0.46,0.00,0.00
Software quality tester,Customer service representative,44.1,65.3,78.93,0.23,-1.03,0.00,3.57,0.63,1.79,1.77
Postsecondary teacher,Insurance underwriter,46.6,56.9,78.78,-1.12,-2.01,7.50,2.50,0.45,5.00,4.98
Web and digital interface designer,Social and community service manager,42.7,71.7,78.77,0.90,-0.61,100.00,100.00,0.75,100.00,99.25
Software developer,Insurance underwriter,20.2,56.9,78.63,-4.16,0.39,85.00,100.00,-2.27,92.50,90.40
Property assessor,Insurance sales agent,34.2,54.9,78.62,-1.92,-3.48,0.00,0.00,0.78,0.00,0.00
Software quality tester,Graphic designer,44.1,54.7,78.60,0.49,-1.61,90.00,27.03,1.05,58.51,57.90
Software quality tester,Insurance claims and policy processing clerk,44.1,80.1,78.58,-1.16,-1.73,47.50,100.00,0.28,73.75,73.54
Chemical technician,Ophthalmic medical technician,35.0,73.7,78.53,-2.34,-2.79,10.71,0.00,0.23,5.36,5.34
Lawyer,Insurance underwriter,39.5,56.9,78.48,-1.61,-1.71,37.50,7.50,0.05,22.50,22.49
Web and digital interface designer,Payroll and timekeeping clerk,42.7,88.2,78.41,0.79,-4.00,100.00,100.00,2.39,100.00,97.61
Database administrator,Executive secretary,30.8,90.0,78.39,-2.32,8.88,42.50,20.83,-5.60,31.67,29.89
Lawyer,Loan officer,39.5,51.6,78.35,-1.17,3.31,2.50,0.00,-2.24,1.25,1.22
Postsecondary teacher,Mental health counselor,46.6,74.6,78.31,-1.32,3.19,20.00,17.50,-2.25,18.75,18.33
First-line supervisor of retail sales workers,Billing and posting clerk,44.6,91.4,78.25,1.40,0.64,55.56,82.61,0.38,69.08,68.82
First-line supervisor of retail sales workers,Social and human service assistant,44.6,75.3,78.13,0.64,2.56,0.00,2.50,-0.96,1.25,1.24
Occupational health and safety specialist,Order clerk,17.9,58.3,78.11,-1.21,0.18,0.00,0.00,-0.70,0.00,0.00
Occupational health and safety specialist,Insurance sales agent,17.9,54.9,78.10,0.49,-1.36,0.00,0.00,0.93,0.00,0.00
First-line supervisor of retail sales workers,Customer service representative,44.6,65.3,78.03,0.35,-1.28,0.00,3.57,0.81,1.79,1.77
Cost estimator,Graphic designer,17.7,54.7,78.03,1.74,-2.56,20.00,59.46,2.15,39.73,38.88
Web and digital interface designer,Insurance sales agent,42.7,54.9,78.02,4.33,-0.06,97.50,4.55,2.19,51.02,49.90
Personal financial advisor,Insurance underwriter,32.6,56.9,78.01,-1.03,-2.08,60.00,0.00,0.53,30.00,29.84
Food service manager,Lodging manager,46.7,61.6,78.00,0.24,2.91,100.00,70.00,-1.34,85.00,83.86
Software quality tester,Advertising sales agent,44.1,52.7,77.98,1.82,1.53,7.50,65.38,0.14,36.44,36.39
Software quality tester,Insurance underwriter,44.1,56.9,77.97,-0.14,-0.22,70.00,15.00,0.04,42.50,42.48
Printing press operator,Filling machine operator,24.7,57.3,77.95,1.14,0.99,0.00,0.00,0.07,0.00,0.00
Counter and rental clerk,Billing and posting clerk,38.7,91.4,77.93,3.96,0.32,87.50,100.00,1.82,93.75,92.05
Web developer,Public relations specialist,19.4,76.2,77.89,1.36,1.37,85.00,100.00,-0.01,92.50,92.49
Web and digital interface designer,Public relations specialist,42.7,76.2,77.89,2.50,-0.58,100.00,100.00,1.54,100.00,98.46
Photographer,Artist,48.5,51.6,77.87,0.51,-3.45,80.00,65.00,1.98,72.50,71.07
Database administrator,Compliance officer,30.8,51.8,77.85,-1.40,1.42,100.00,100.00,-1.41,100.00,98.59
Chief executive,Executive secretary,30.6,90.0,77.82,3.16,7.76,0.00,16.67,-2.30,8.33,8.14
First-line supervisor of retail sales workers,Advertising sales agent,44.6,52.7,77.77,-0.42,1.23,0.00,0.00,-0.83,0.00,0.00
Cost estimator,Advertising sales agent,17.7,52.7,77.74,0.88,0.66,2.50,69.23,0.11,35.87,35.83
Surgeon,Physician assistant,20.0,68.8,77.67,0.11,5.89,0.00,20.00,-2.89,10.00,9.71
First-line supervisor of production and operating workers,First-line supervisor of office and administrative support workers,23.5,65.8,77.67,0.61,0.01,0.00,0.00,0.30,0.00,0.00
Web developer,Insurance sales agent,19.4,54.9,77.45,1.47,-1.91,62.50,63.64,1.69,63.07,62.00
Cost estimator,Public relations specialist,17.7,76.2,77.43,1.85,2.43,7.50,72.50,-0.29,40.00,39.88
Logistician,Compliance officer,38.7,51.8,77.42,-1.05,0.42,0.00,2.50,-0.73,1.25,1.24
Mechanical engineer,Medical scientist,10.1,51.8,77.42,3.61,-3.56,12.50,23.68,3.58,18.09,17.44
Occupational health and safety specialist,Advertising sales agent,17.9,52.7,77.35,1.15,1.14,0.00,0.00,0.01,0.00,0.00
Property assessor,Lodging manager,34.2,61.6,77.25,-1.83,0.86,52.50,15.00,-1.35,33.75,33.30
Software quality tester,Insurance sales agent,44.1,54.9,77.18,1.86,-2.28,10.00,13.64,2.07,11.82,11.57
Wastewater treatment system operator,Filling machine operator,7.3,57.3,77.18,0.06,0.22,22.50,95.00,-0.08,58.75,58.71
First-line supervisor of housekeeping and janitorial workers,First-line supervisor of food preparation and serving workers,44.1,53.5,77.16,0.38,1.44,18.18,32.50,-0.53,25.34,25.21
Computer systems manager,Compliance officer,27.7,51.8,77.12,0.11,3.02,5.00,47.50,-1.45,26.25,25.87
Database administrator,File Clerk,30.8,76.0,77.11,-1.89,-1.52,100.00,100.00,-0.18,100.00,99.82
First-line supervisor of retail sales workers,First-line supervisor of food preparation and serving workers,44.6,53.5,77.10,1.72,2.18,19.44,7.50,-0.23,13.47,13.44
Database administrator,Billing and posting clerk,30.8,91.4,77.03,-0.95,-2.03,100.00,100.00,0.54,100.00,99.46
Software quality tester,Payroll and timekeeping clerk,44.1,88.2,76.98,1.55,-2.14,47.50,65.22,1.85,56.36,55.32
Property assessor,Executive secretary,34.2,90.0,76.98,-0.42,8.06,5.00,12.50,-4.24,8.75,8.38
Property assessor,First-line supervisor of office and administrative support workers,34.2,65.8,76.86,-2.08,-0.54,7.50,0.00,-0.77,3.75,3.72
Web developer,Insurance claims and policy processing clerk,19.4,80.1,76.84,1.91,-1.81,82.50,100.00,1.86,91.25,89.55
